,text,labels,scores,better label(s) - Justin,Other - Justin
303,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
304,depends..what r u looking for?,['curiosity'],[0.87665874],,
305,I'm old enough to drink. ;),['neutral'],[0.3619369],,
306,where r u?,['confusion' 'curiosity'],[0.66284549 0.8499701 ],neutral,
307,I'm done ,['annoyance'],[0.64827687],,
308,You still there?,['curiosity'],[0.8162986],,
309,full service?,['neutral'],[0.92859524],,
310,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
311,Some as young as 12 years old!,['neutral'],[0.99852693],,accountability
312,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
313,haha sure :),['amusement'],[0.97615594],,
314,you speak of harassing,['annoyance' 'neutral'],[0.55238086 0.90265572],,
315,whats up,['neutral'],[0.99560058],,
316,hey ??,['neutral'],[0.99475855],,
317,That's how it is just about every single one of us.,['neutral'],[0.99871314],,
318,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
319,no,['disapproval' 'neutral'],[0.47756398 0.97688633],,
320,how r u?,['curiosity'],[0.98055249],,
321,Eva is in the house,['neutral'],[0.99878031],,
322,"so so good, what about you chief? :)",['admiration' 'curiosity'],[0.92128998 0.95533746],,
323,call me back ,['neutral'],[0.9983803],,
324,call me!,['neutral'],[0.99877995],,
325,i can do whatever! ,['optimism' 'neutral'],[0.85110641 0.88147277],,
326,Are you aware that many of the girls who get involved in prostitution are minors?,['curiosity'],[0.98808587],,accountability
327,Choose real relationship.,['neutral'],[0.99906629],,accountability
328,hour of wut ??,['surprise'],[0.83374447],neutral,
329,I thought you were going to call,['neutral'],[0.99222761],confusion,
330,Sir It does not really matter because I am part of a group that is trying to interrupt the online sex business. I am going to send you some information to read.,['neutral'],[0.90294456],annoyance,
331,"Sorry Babe, all cleaned up and ready for the evening! You still avail?",['caring' 'remorse'],[0.48703289 0.78928256],neutral,
332,"Listen man, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger' 'neutral'],[0.38677955 0.48599297],,accountability
333,We find that most guys don't know that online girls are trapped,['neutral'],[0.99811256],,humility
334,u still there?,['confusion' 'curiosity'],[0.37223774 0.92898911],neutral,
335,but where r u coming from?,['curiosity'],[0.98309535],,
336,wht u lookn 4? in or out?,['curiosity'],[0.98163819],neutral,
337,?,['neutral'],[0.98066735],,
338,got it,['approval' 'neutral'],[0.95015705 0.74428827],,
339,Everything could be expensive.... ,['neutral'],[0.99673045],,
340,certainly,['neutral'],[0.99867189],,
341,Hi,['neutral'],[0.99863666],,
342,Really good! How can I help???,['admiration' 'curiosity'],[0.9890542  0.85639095],,
343,hey there!,['neutral'],[0.99751031],,
344,Please look at www.slaadfw.org or www.valianthearts.org/conquerers/ for help. \n\nwww.ThinkTwiceTexas.com has great info to learn more about the exploitation of these girls.\n\nPlease see women as humans not objects for sale. You can do this. You are not alone.\n\nPlease see women as humans not objects for sale. You can do this.,['admiration' 'optimism'],[0.97751343 0.36263967],caring,
345,So here's the deal Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['curiosity' 'neutral'],[0.80922842 0.91912472],,accountability
346,yes,['approval' 'neutral'],[0.82732159 0.65905124],,
347,is that your rate or mine?,['confusion' 'curiosity'],[0.32463592 0.96598679],,
348,"Sorry I was away for a sec, you still there?",['curiosity' 'remorse' 'sadness'],[0.48911262 0.8863945  0.35945737],,
349,Are you interested in knowing how this works though? I can definitely give you an educational discount. ;),['curiosity'],[0.99346328],,
350,They're being tricked and you can try to feel good about it but selling yourself every night to four or five men is no way for any one to live,['realization' 'neutral'],[0.48492393 0.43700227],,accountability
351,"oh ok sorry, i dont manage all that...",['remorse' 'sadness'],[0.79392731 0.39377445],,
352,what can i do 4 u tonight?,['curiosity'],[0.91517037],,
353,"hey sorry, wasn't by my phone",['remorse'],[0.85315567],,
354,Best of luck moving forward,['caring'],[0.98504597],,
355,call me...  let's set it up ??,['neutral'],[0.99791414],,
356,Heyyy,['neutral'],[0.97766429],,
357,Are you aware that buying sex is illegal?,['curiosity'],[0.97211748],,accountability
358,what you lookin for,['neutral'],[0.95086735],,
359,hi there :),['neutral'],[0.99811125],,
360,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
361,hi there ;),['neutral'],[0.99825794],,
362,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
363,How do you know she's not being forced to do it?,['curiosity' 'surprise'],[0.4654502  0.44672164],,
364,u with me?,['curiosity'],[0.89570141],,
365,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
366,can i send you some ways to learn about the reality of what these girls go through?,['curiosity'],[0.99339056],"curiosity, optimism",
367,what u lookin 4,['neutral'],[0.99782145],,
368,whadsup,['neutral'],[0.9975695],,
369,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,accountability
370,"you may think I'm messing with you, but I'm really not.  I'm trying to raise awareness that this business these ads are a front for human trafficking.   ",['caring' 'disapproval'],[0.31980559 0.98526323],,humility
371,You are absolutely charming!  ??,['admiration'],[0.99561077],,
372,It's a little scary with this whole COVID thing going on.,['fear'],[0.99181694],,
373,"ok, what else would you like?",['curiosity' 'neutral'],[0.83945906 0.44830501],,
374,"Sorry man we got disconnected.  I know this isn't what you were expecting, but I've got some important things you should hear.  This business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\n",['remorse'],[0.51798773],caring,and accountability
375,im mobile,['neutral'],[0.99892348],,
376,So your phone # has been added to our list but I was wondering if you'd be willing to have a quick conversation. Your cooperation will be very helpful.,['admiration' 'curiosity' 'optimism'],[0.58143491 0.75628996 0.83677757],optimism,and accountability
377,i'm good sean,['approval'],[0.88053882],,
378,"of course, what do u have n mind",['neutral'],[0.97871166],,
379,"women don't become prostitutes because it sounds like a good career decision.  They often feel like they have no other choice, and sadly, there are men out there who are willing to pay for sex with them and that creates demand, which encourages pimps to recruit more and more girls to control.",['sadness'],[0.84786206],,accountability
380,Did you get a chance to read my last text about the legal penalties for getting busted?,['curiosity'],[0.98495299],,
381,well do u \nwant in or outcall ,['neutral'],[0.99820077],,
382,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
383,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
384,"On my post, what website are you on?",['neutral'],[0.94230646],,
385,Hi what would like?,['neutral'],[0.99404895],,
386,no free spank bank,['neutral'],[0.99872631],,
387,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
388,"At a minimum, I'm assuming that you found this phone number in an ad with the following title:  ??Super Freak????Fetish Friendly????Classy and Nasty????Ready Now??",['curiosity' 'neutral'],[0.77332699 0.71644706],,
389,"well if you were looking for something else  I wanted to let you know that  the ad you may/may not have saw and the site that it is on\n is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['neutral'],[0.96708083],,accountability
390,you said you come across multiple women and none of them are minors. what do you mean?,['confusion' 'neutral'],[0.61437774 0.85095   ],"confusion, curiosity",
391,Caring about other people is what's right.,['approval' 'caring'],[0.91824222 0.58849651],,
392,Dave i hope you have a good night Please Please don't call any of these ads again.  You are a better man than this.  God Bless you.  Prayers for you,['admiration' 'caring' 'optimism'],[0.37841272 0.93492419 0.63862199],,
393,"Hey, how's it go'in",['curiosity' 'neutral'],[0.54998803 0.34534228],,
394,"hey there! I'm doing great, thanks for asking :) how are you?",['admiration' 'gratitude'],[0.81190586 0.98473364],,
395,Where r u?,['confusion' 'curiosity'],[0.51480895 0.92820233],,
396,What's your name?,['curiosity'],[0.97996718],,
397,definitely.,['neutral'],[0.99755812],,
398,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,accountability
399,"Si te procesan, te enfrentas a multas costosas. Si la chica es menor de edad, las penas aumentan dramÃ¡ticamente y pueden arruinar su vida. Es posible que tambiÃ©n tenga que registrarse como delincuente sexual. Estas sanciones son para los infractores por primera vez. Si vuelves a responder a uno de estos anuncios, estas cosas podrÃ­an sucederte. \n\nEntiende seÃ±or?\nDo you understand sir?",['curiosity' 'neutral'],[0.86889946 0.77243888],,accountability
400,I really hope you have a good night... That you find true companionship and your cancer improves.,['caring' 'optimism'],[0.96534747 0.64678288],,
401,I can't wait to play  ??,['curiosity' 'excitement'],[0.91153097 0.33215773],,
402,"ok, well i could make it out there in like 45 min if that works?",['optimism'],[0.93350118],,
403,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
404,wht urlkn 4,['neutral'],[0.99770713],,
405,no police,['neutral'],[0.9957782],,
406,i want to be helpful,['desire'],[0.82561195],caring,
407,still interested ?,['curiosity'],[0.98548359],neutral,
408,hey hey,['excitement' 'neutral'],[0.32731968 0.94860321],neutral,
409,Hi. ,['neutral'],[0.99815053],,
410,ok were you aware of that ma'am?,['curiosity' 'neutral'],[0.82641953 0.56944752],,
411,Can I hear a little about you first?,['neutral'],[0.99110526],curiosity,
412,God bless you!,['caring'],[0.98708212],,
413,Do you think you can stay in this conversation?,['confusion' 'curiosity'],[0.63973165 0.81660753],,
414,there is a better way. these adds are not the way to go. you should have a committed relationship with someone who cares about you,['caring' 'disapproval'],[0.44313371 0.90001851],,
415,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this. You are not alone.\n,['caring' 'neutral'],[0.93177271 0.78211403],caring,and accountability
416,I can be :) Call me,['neutral'],[0.99892503],,
417,you responded to a sex add,['neutral'],[0.99014282],,accountability
418,I listen to First Wave on satellite radio all the time. It all 80's with an English DJ.,['approval' 'neutral'],[0.53416604 0.94090778],,
419,i thought you said you were married?,['confusion' 'curiosity'],[0.42444727 0.46496704],,
420,whats nuru,['neutral'],[0.99919671],,
421,u ever do this b4?,['curiosity'],[0.96613955],,
422,that my king,['neutral'],[0.99780911],,
423,"Are you still there? This business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?\n",['curiosity'],[0.47608683],,accountability
424,There are places that you can go to get help that are anonymous,['neutral'],[0.99904639],caring,
425,"Yeah, this is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.70367777],,accountability
426,You've attempted to buy sex on 19 different occasions and your number has been recorded each time.,['neutral'],[0.9984597],,accountability
427,What want?,['neutral'],[0.96053153],,
428,hey there ,['neutral'],[0.99851328],,
429,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
430,May I text you information on where to get anonymous help?,['curiosity'],[0.97406209],"caring, curiosity",
431,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,accountability
432,hey there,['neutral'],[0.99851328],,
433,thart would be great,['admiration'],[0.99457425],approval,
434,ups,['neutral'],[0.99811685],,
435,the rest of us are a mess,['annoyance' 'disappointment'],[0.97435242 0.51569492],,humility
436,it on the ad,['neutral'],[0.99830139],,
437,you looking for angelica?,['curiosity'],[0.985686],,
438,which sack?? ??,['curiosity' 'neutral'],[0.62686312 0.66962463],,
439,yeahh come on up!!,['neutral'],[0.9979347],,
440,what u lookn 4,['neutral'],[0.99793786],,
441,whuts on your mind,['neutral'],[0.99853206],,
442,yes I am,['approval' 'neutral'],[0.90729302 0.75829685],,
443,ok,['neutral'],[0.99598974],,
444,not exactly... ,['disapproval' 'neutral'],[0.9155919  0.43128595],,
445,what you are trying to do,['neutral'],[0.99383825],,
446,moto city... out/in?,['neutral'],[0.99798226],,
447,whatz ur pleasure hon?,['curiosity'],[0.97894371],,
448,i'm here :-),['neutral'],[0.99657911],,
449,English?,['neutral'],[0.9271521],,
450,"When, what, where?",['neutral'],[0.97810429],,
451,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
452,call me!,['neutral'],[0.99877995],,
453,"This kind of stuff seriously destroys us as men, and the people around us... especially our families.",['annoyance' 'disappointment'],[0.5893327  0.93894827],,empathy
454,yes,['approval' 'neutral'],[0.82732159 0.65905124],,
455,I would recommend a dating website over a website that encourages prostitution.,['approval' 'neutral'],[0.66721559 0.96428794],,
456,depends on what you want baby?? give me a call and we can figure it out,['neutral'],[0.56300336],,
457,"well, what u want?",['curiosity'],[0.93640059],,
458,"OK Matt, like I said, you sound like a nice guy so I'm going to go easy... ",['admiration' 'approval'],[0.34698227 0.9814828 ],,
459,can you call?,['curiosity' 'neutral'],[0.52416652 0.85536575],neutral,
460,what do you really want to do,['confusion' 'neutral'],[0.7471382 0.7350291],,
461,near airport,['neutral'],[0.99883276],,
462,"Most guys haven't heard about this topic. They appear to be independent, but we spoken with survivors of trafficking and they are not getting paid",['neutral'],[0.99851459],,accountability
463,what u lookin for?,['curiosity'],[0.92727435],,
464,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
465,"Hey Steve, are you still r",['neutral'],[0.98417032],,
466,call so we can talk,['neutral'],[0.99860913],,
467,doin great..u?,['admiration' 'curiosity'],[0.82519168 0.92496324],,
468,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
469,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
470,"You sound like a good guy, I don't want you to walk into this. It's bad for you and for them",['admiration' 'disappointment' 'disapproval'],[0.35878873 0.80771095 0.3339147 ],admiration,and humility
471,nothin hard...just green,['neutral'],[0.99430615],,
472,what happens at 10:00 PM,['neutral'],[0.99115491],,
473,wat are u looking for?,['curiosity'],[0.95159525],,
474,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,accountability
475,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,['neutral'],[0.99889463],,accountability
476,hello,['neutral'],[0.99821329],,
477,pictures ,['neutral'],[0.99873906],,
478,Really?>,['curiosity'],[0.95580322],,
479,BE CAREFUL stay off these sites.  We're not law enforcement but share info with them and they are out busting these places.,['anger' 'neutral'],[0.7784546  0.31890091],caring,and accountability
480,how r u sweety,['curiosity'],[0.97480768],,
481,come find me hun,['neutral'],[0.99824607],,
482,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,accountability
483,"It's incredibly destructive and ruins lives, including your own. I want something better than this for you",['caring' 'desire' 'disapproval'],[0.49328735 0.56600451 0.4842163 ],,
484,no freebies tonite - what u lookin 4,['neutral'],[0.99761498],,
485,May I text you information on where to get anonymous help?,['curiosity'],[0.97406209],,
486,just need to have an honest convo with you for a sec. your cooperation will be noted.,['approval' 'neutral'],[0.35171625 0.99184227],,
487,Hi friend. You may not know Candence but you have contacted this escort ad before right?,['neutral'],[0.99712986],,accountability
488,hey there honey,['neutral'],[0.99732685],,
489,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
490,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
491,sorry?,['remorse'],[0.9160971],,
492,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,accountability
493,"But by using their body, you are hurting them -- you are devaluing them as a human being.",['caring' 'disapproval'],[0.5818274  0.92169297],disapproval,and accountability
494,heyyy ;),['neutral'],[0.93145943],,
495,that ok with u? ,['curiosity' 'neutral'],[0.51547843 0.79902905],,
496,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n,['neutral'],[0.99679846],,accountability
497,hello babe,['neutral'],[0.99407333],,
498,Would you be open to receiving resources for sex addiction?,['curiosity'],[0.99044693],,
499,"yup, you've seen em in the ad",['neutral'],[0.99857116],,
500,hey boy nice ink!,['admiration'],[0.99187779],,
501,How are you?,['curiosity' 'neutral'],[0.41660142 0.70660251],,
502,"slow night just lookin for some cheddar, u need services?",['curiosity'],[0.98684329],,
503,u still there?,['confusion' 'curiosity'],[0.37223774 0.92898911],,
504,Are you aware that prostitution is illegal?,['curiosity'],[0.96631604],,
505,I am now...!,['neutral'],[0.9967103],,
506,I like fun... ??  give me shout,['curiosity' 'excitement' 'joy' 'love'],[0.50752747 0.39094907 0.33445594 0.6993562 ],,
507,:(,['neutral'],[0.99050939],,
508,It's been so nice talking.,['admiration'],[0.99121219],,
509,"Sure, what are you looking for?",['curiosity' 'neutral'],[0.3011148 0.7642355],,
510,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
511,Your daughter needs her dad around.,['caring' 'neutral'],[0.90199167 0.8700335 ],,
512,im sure we can figure something out ;),['approval' 'optimism'],[0.96030366 0.92969024],,
513,what we doin tonight,['curiosity' 'neutral'],[0.74023771 0.30458614],,
514,hi! yes.,['neutral'],[0.9914698],,
515,You don't want me to wear a mask right?,['confusion' 'neutral'],[0.76350921 0.68656307],,
516,What does your center do?,['curiosity' 'neutral'],[0.71379602 0.503802  ],,
517,i can . but what are you looking for? how long?,['neutral'],[0.96799034],,
518,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n,['neutral'],[0.99679846],,
519,"Back to comment, ""Yes I'm aware,"" Would you say that this is wrong, that because of the demand, women become victims.",['neutral'],[0.98790258],,
520,Into believing it's the girl's idea and will to do what she's doing.,['neutral'],[0.99502373],,
521,"I'm good, kinda bored. Can you change that ;)",['admiration' 'annoyance' 'approval'],[0.33941141 0.38041312 0.96860248],,
522,Hey man Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\nAre you aware that many of the girls who get involved in prostitution are minors?\n,['neutral'],[0.99394518],,
523,Please look at www.slaadfw.org or www.valianthearts.org/conquerers/ for help. \n\nwww.ThinkTwiceTexas.com has great info to learn more about the exploitation of these girls.\n\nPlease see women as humans not objects for sale. You can do this. You are not alone.\n\nPlease see women as humans not objects for sale. You can do this.,['admiration' 'optimism'],[0.97751343 0.36263967],,
524,come on now bud...  this number that you're texting is for one thing. Outcall...  hour fs...  donation...  come on be serious.,['neutral'],[0.98064327],,
525,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
526,"t\nhe business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger' 'neutral'],[0.32864472 0.53512782],,
527,Did you know that the majority of women involved in prostitution are doing it against their will and that many of them are minors? They are just young girls. ,['curiosity'],[0.96517366],,
528,Cooperation will be noted. Should I mark you down as uncooperative?,['curiosity' 'neutral'],[0.41175699 0.97554576],,
529,We'll mark you down as being uncooperative then sir,['neutral'],[0.99638027],,
530,You got the right person.,['approval'],[0.99299264],,
531,I don't know ...,['confusion' 'neutral'],[0.68955994 0.56537211],,
532,Hi there what's your name?,['curiosity'],[0.9928813],,
533,Would you be willing to learn a little and help be part of the solution?,['curiosity'],[0.99216932],,
534,yes,['approval' 'neutral'],[0.82732159 0.65905124],,
535,\nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n,['neutral'],[0.99879277],,
536,don't feed an industry that is wrong.,['disapproval'],[0.98689538],,
537,yes call me,['neutral'],[0.99813724],,
538,Do your seats go down?,['confusion'],[0.90641111],,
539,i aint waitn all nite,['neutral'],[0.94774336],,
540,what u lookin 4?,['curiosity' 'neutral'],[0.87762094 0.37416965],,
541,u still interested?,['curiosity'],[0.99316931],,
542,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
543,wherever you need me to be in KC!,['neutral'],[0.99840122],,
544,heyy ;),['joy' 'neutral'],[0.70295286 0.81640607],,
545,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,
546,"trust me, i'm worth it baby.  besides you won't see my face anyway!",['approval'],[0.99070323],,
547,i like to have fun.,['joy' 'love'],[0.76758164 0.88288146],,
548,"Okay, give me another call",['neutral'],[0.99202031],,
549,sure what did you have in mind,['neutral'],[0.99862134],,
550,regardless please stop seeing women as objects. go on a dating websites not prostitution ones,['neutral'],[0.9757303],,
551,https://realwomennow.com/,['neutral'],[0.9952147],,
552,anything speshal?,['curiosity'],[0.96304816],,
553,i think u know,['neutral'],[0.99706918],,
554,"Yousef there are better ways to handle things here, not going to girls like this.",['neutral'],[0.97672379],,
555,You seem like a decent guy that doesn't want to hurt anyone.  We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help?,['curiosity' 'neutral'],[0.86700147 0.48412883],,
556,I believe you.,['approval'],[0.97834456],,
557,Sorry this is actually the correct one. Please look at www.saa-phoenix.org. Please see women as humans not objects for sale. You can do this. You are not alone.,['caring' 'remorse'],[0.82891774 0.6654259 ],,
558,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
559,for sure,['approval' 'neutral'],[0.56755847 0.90610063],,
560,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
561,I'm not sending unless you are serious. ,['annoyance'],[0.95281714],,
562,"Hey, do the right thing. Don't take advantage of girls in a dangerous situation.",['approval'],[0.98678023],,
563,that could mean a lot of things ;),['neutral'],[0.99459803],,
564,Fight the New Drug\nhttps://fightthenewdrug.org/overview/\n,['neutral'],[0.99431592],,
565,ha we texted at same time,['neutral'],[0.98808563],,
566,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
567,just pure evil,['neutral'],[0.99349278],,
568,ican tell yourbetter than this would ypu likwe some resources,['neutral'],[0.99873227],,
569,"So here's the deal, your phone # has been added to our list but I was wondering if you'd be willing to have a quick conversation. Your cooperation will be very helpful.",['admiration' 'curiosity'],[0.83999872 0.94484371],,
570,let me offer you something better... ,['approval' 'caring'],[0.33420712 0.90174216],,
571,Are you aware that many of the girls who get involved in prostitution are minors?,['curiosity'],[0.98808587],,
572,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
573,i can be. yu still there,['neutral'],[0.99883181],,
574,yes,['approval' 'neutral'],[0.82732159 0.65905124],,
575,"hey brother , Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?",['curiosity' 'neutral'],[0.4590919  0.98284173],,
576,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this. You are not alone.,['caring'],[0.9858678],,
577,incall/outcall?,['neutral'],[0.99509603],,
578,are you aware of this???,['curiosity' 'neutral'],[0.39215052 0.39476958],,
579,in call or out?,['neutral'],[0.98263758],,
580,Heyy :) r u looking for Alexa,['neutral'],[0.996732],,
581,Are you aware that many of the girls who get involved in prostitution are minors?,['curiosity'],[0.98808587],,
582,call me and we can chat,['neutral'],[0.99875307],,
